transaction_id,timestamp,platform,purchased_currency,sold_currency,purchased_qty,sold_qty,fee_currency,fee_qty,purchased_currency_spot_price_usd,sold_currency_spot_price_usd,tx_notes
498692,2019-04-21T18:19:47.421Z,Coinbase Pro,XRP,USD,331,106.0717635,USD,0.15863175,,,
64979380,2019-05-27T07:56:16.391Z,Coinbase Pro,BTC,USD,1.8169936,16027.48887,USD,23.96932532,,,
64979381,2019-05-27T07:56:16.415Z,Coinbase Pro,BTC,USD,0.0009528,8.404537799,USD,0.012569099,,,
94483594,2020-06-11T15:11:49.601Z,Coinbase Pro,BTC,USD,1,9595,USD,47.5,,,
13071492,2020-09-10T16:46:26.985Z,Coinbase Pro,USD,XRP,236.342304,976,USD,1.193648,,,
13071493,2020-09-10T16:46:26.985Z,Coinbase Pro,USD,XRP,829.2090238,3425.705,USD,4.187924363,,,
,2020-09-12T18:56:18Z,Coinbase,CGLD,USD,0.68191892,0,USD,0,2.93,,Received 0.68191892 CGLD from Coinbase Earn
,2020-09-12T18:56:53Z,Coinbase,CGLD,USD,0.68420512,0,USD,0,2.93,,Received 0.68420512 CGLD from Coinbase Earn
,2020-09-12T18:57:25Z,Coinbase,CGLD,USD,0.68420512,0,USD,0,2.93,,Received 0.68420512 CGLD from Coinbase Earn
,2020-09-13T13:46:24Z,Coinbase,COMP,USD,0.01749578,0,USD,0,171.38,,Received 0.01749578 COMP from Coinbase Earn
,2020-09-13T13:46:42Z,Coinbase,COMP,USD,0.01749578,0,USD,0,171.38,,Received 0.01749578 COMP from Coinbase Earn
,2020-09-13T13:46:57Z,Coinbase,COMP,USD,0.01749578,0,USD,0,171.38,,Received 0.01749578 COMP from Coinbase Earn
2554507,2020-09-28T14:00:39.452Z,Coinbase Pro,BTC,USDC,0.11166699,1227.740365,USDC,6.077922599,,,
2554508,2020-09-28T14:00:39.452Z,Coinbase Pro,BTC,USDC,0.02839879,312.2352705,USDC,1.545719161,,,
,2020-10-15T17:47:32Z,Coinbase,MKR,USD,0.00352151,0,USD,0,568.18,,Received 0.00352151 MKR from Coinbase Earn
20940b7925a81b1516b143e50e0d9013d2e10d440b4e00b51157b69a2b66a7f3,2020-10-28T10:11:00Z,Ledger,USDC,QTUM,70.14,34.77,USD,0,,,
106428832,2020-10-22T14:52:30.755Z,Coinbase Pro,BTC,USD,0.75033663,9798.507389,USD,48.50746232,,,
,2020-10-26T12:40:10Z,Coinbase,BTC,BCH,0.02582225,1.29555845,USD,7.04,,267.3,Converted 1.29555845 BCH to 0.02582225 BTC
